Investment Name,Date,Return On Investment,Debt-to-Equity,P/E Ratio,Successful
Tesla,12/31/2009,92.42,0.15,56.57,100
Visa ,12/31/2009,30.99,0,23.47,93
Nvidia,12/31/2009,45.63,0.01,30.06,97
Netflix,12/31/2009,31.7,0.19,27.82,90
Peloton,3/31/2023,-119.05,6.21,0,40
Bed Bath and Beyond,1/31/2009,-3.4,5.03,6.57,53
Wayfair,12/31/2010,-262.5,6.47,0,30
XFL,12/31/2009,-48.93,8.5,0.18,22
American Express,12/31/2009,30.11,0.07,21.59,90
SM Energy,12/31/2009,-6.47,5.52,0,30
Amazon,12/31/2009,35.87,0.03,20.1,96
Microsoft,12/31/2009,47.72,0.1,12.87,95
Blockbuster,12/31/2009,11.3,1.57,14.44,78
JCPenny,12/31/2009,-4.97,3.73,0,35
Macys,12/31/2009,12.5,1.82,13.19,76
Radioshack,12/31/2009,12.3,1.48,12,74
Mattel,12/31/2009,7.37,3.02,9.89,69
Toys R Us,12/31/2009,-8.92,4.02,1,40
Elevance Health,6/30/2017,27.06,0.77,16.62,82
Cardinal Health,12/31/2009,18.22,1.4,10.49,70
Allot,12/31/2009,-39.75,4,0,20
Medifast Inc,9/30/2009,46.21,0.55,19.24,88
Blue Apron Holdings,3/31/2018,-52.27,5.99,0,30
United Natural Foods,6/13/2023,18.98,1.15,10.11,70
Indregion,9/30/2009,37.96,1.34,13.67,77
Darling Ingredients,12/31/2009,14.31,0.91,16.43,81
US Foods Holding,3/31/2017,37.01,0.42,26.15,93
Aramark,9/30/2014,20.06,0.12,37.61,95
Campbell Soup,4/30/2021,10.24,0.67,17.06,84
JM Smucker,10/31/2009,16.88,1.98,10.78,71
Congara Brands,11/30/2009,9.49,2.65,6.63,63
Lamb Weston,8/31/2017,31.31,0.61,18.88,87
Kellogg,6/30/2019,37.44,0.62,18.54,87
McCormick,11/30/2009,14,1.25,12.12,74
Sysco,12/31/2009,8.69,2.03,9.97,69
General Mills,8/31/2009,7.27,2.32,8.96,67
Blackstone,3/31/2013,31.49,0.51,19.78,89
Orix Corp Ads (IX),3/31/2013,11.97,1.35,11.01,72
Royalty Pharma,3/31/2021,38.57,0.19,28.32,94
Synchrony Financial,12/31/2018,9.98,2.64,5.59,61
XP,12/31/2022,9.33,1.11,12.68,75
Globe Life,12/31/2009,31.41,2.9,5.3,60
Moody's,12/31/2009,87.08,1.72,13.4,76
Jefferies Financial Group,12/31/2009,6.09,2.38,7.57,65
Houlihan Lokey,6/30/2016,40.49,0.72,16.74,85
Euronet Worldwide,3/31/2010,25.44,0.12,20.94,92
Virtu Financial,3/31/2016,-4.18,0.55,18.97,88
StepStone Group,6/30/2021,-1.22,1.11,10.76,71
Perella Weinberg,9/30/2021,-25.34,1.28,12.31,74
Chicago Atlantic Real Estate,9/30/2022,4.2,1.13,10.22,70
Midwest Holding,9/30/2022,50.4,2.14,5.05,60
Lument Finance Trust,12/31/2013,2.16,2.33,5.18,60
Disney,12/31/2009,49.57,0.84,16.05,84
EOG Resources,12/31/2014,12.71,1.33,13.81,77
Pioneer Natural Resources,9/30/2010,8.68,1.61,10.57,71
Devon Energy,3/31/2010,7.69,2.55,7.52,65
Diamondback Energy,12/31/2014,4.96,1.34,14.01,78
Coterra Energy,12/31/2018,6.75,1.29,14.58,79
EQT,3/31/2011,5.22,1.42,14.26,78
